SeniorCitizen,tenure,MonthlyCharges,TotalCharges,customerID,gender,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Churn
0,5,27.43,137.15,0001-XXXX,Male,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No internet service,Month-to-month,Yes,Credit card,Yes
0,42,38.28,1607.76,0002-XXXX,Female,No,No,Yes,No phone service,DSL,Yes,Yes,No,No,No internet service,No internet service,Two year,No,Electronic check,Yes
0,61,106.44,6492.84,0003-XXXX,Male,No,No,Yes,No phone service,No,No,Yes,No,Yes,Yes,No,One year,No,Bank transfer,Yes
1,22,92.49,2034.78,0004-XXXX,Male,No,Yes,Yes,No,No,No internet service,No internet service,Yes,No,No internet service,Yes,Month-to-month,No,Electronic check,No
1,21,19.63,412.23,0005-XXXX,Male,Yes,Yes,No,No,DSL,No,No,No internet service,No,No,No internet service,One year,No,Bank transfer,Yes
0,70,43.21,3024.7,0006-XXXX,Female,Yes,No,Yes,No phone service,No,No internet service,Yes,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Electronic check,No
1,1,39.8,39.8,0007-XXXX,Male,Yes,No,No,No,DSL,No,No,No internet service,Yes,No internet service,Yes,Month-to-month,No,Credit card,Yes
1,5,45.47,227.35,0008-XXXX,Male,No,Yes,No,Yes,No,No,No,No internet service,Yes,No,No internet service,Month-to-month,No,Credit card,No
1,12,43.13,517.56,0009-XXXX,Male,No,Yes,No,Yes,DSL,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer,No
1,46,24.53,1128.38,0010-XXXX,Female,No,No,Yes,No,Fiber optic,No,No,No internet service,No,No internet service,Yes,Month-to-month,Yes,Electronic check,Yes
1,34,64.37,2188.58,0011-XXXX,Male,Yes,Yes,Yes,Yes,No,No internet service,No,No internet service,No,Yes,No internet service,Month-to-month,No,Bank transfer,Yes
0,49,91.89,4502.61,0012-XXXX,Male,No,Yes,Yes,No,No,No internet service,No internet service,No internet service,Yes,Yes,Yes,Two year,No,Credit card,No
1,45,79.23,3565.35,0013-XXXX,Male,No,Yes,Yes,No phone service,No,Yes,Yes,No internet service,No,No,Yes,Two year,Yes,Electronic check,No
